"","mixed.breed","dd_weight_lbs","dd_age_years","recode.sex_2","recode.sex_4","recode.sex_3"
"X1612",0,0,0,0,0,0.661852472959311
"X1614",0,0.00556242011260888,0,0,0,0.319291755208864
"X1615",0,0,0,0,0,0
"X1616",-0.0676638118584661,0.00344379344040118,0.644683492343172,0.647777054361145,0.679319178991251,0.468229320832643
"X1617",-0.106519985818864,0.000243586788229332,0.0420345120976706,-0.0920782616112628,0,-0.0825471880340657
"X1619",-0.0188672246595177,0.00568758539607016,2.9483509494523,1.55678950513038,2.90605414513811,1.10043482585821
"X1622",-0.102936507657983,0.00197729483220308,0.0345258944471618,-0.541284600334295,0,0.137112652528245
"X1627",0.0920146396556945,0.00684082576965251,-0.0553190131274884,0.537959749757914,0,0.136138873600112
"X1630",-0.0593663831794456,0.0036764007223884,0,0,0,0.748823002468021
"X1634",-0.0775056054514492,0.00514853902901898,-0.00727000826578106,0.0357333799064997,-0.180578064697189,0.125847234138668
"X1637",-0.00362287836341963,0.00286374790002751,-0.00469809441929562,0,0,0.343134853529292
"X1640",-0.0315961204827249,0.00400609139366604,0.290332891761124,0,0,0.487391282642518
"X1698",-0.0118585073000119,0.00137980741489723,0,0,0.207747182051831,0.272952380704142
"X1701",0.0362874592763013,-0.00480498259197193,0.617755599185634,0.380444124575038,0.710372904839017,0.241887543716006
"X1703",-0.0120726119171536,0.000578348954631958,0,-0.126718107763914,0.228959034765263,0.105733794635119
"X1704",-0.0445611737676436,-0.00297287853727463,0.071829238087121,-0.125834506600815,0,0.17913986542958
"X1705",-0.00564955242969946,-0.00407457834501143,0,0,-0.04819810269018,-0.00499610161092862
"X1708",0.0493298386306624,0.00398492861835608,0,-0.442332425559723,0.0242252711943216,-0.262266452304527
"X1709",0.0638089026345992,0.00186327202064195,0.160311537103032,-1.13036081010282,0,0.0218637022766867
"X1710",0,0,0,0,0,0
"X1798",-0.0179367838190124,-0.00310018318639535,-0.0486560157415359,-0.139497923347897,0,-0.126213440413398
"X1801",0.0472071079204826,0.00413841513964049,-0.0812145191568437,0.0321055539751222,0,0.241661800801657
"X1802",0.0570018322123077,0.000202195650068336,0,0,0,0.219050049954719
"X1803",0.110546674308497,-0.00381590690939004,-0.174368991017221,0.165023211921809,0,-0.265309760671035
"X1804",-0.00997356587445192,-0.00304460754008952,0,0,0,0
"X1805",-0.0206206080868846,0,0,0,0,-0.107596285463007
"X1809",0.0284345835207591,-0.000724926434645475,0,0,0,0
