"","Count","Percentage","varNames"
"mixed.breed","123","78.343949044586","mixed.breed"
"dd_weight_lbs","133","84.7133757961784","dd_weight_lbs"
"dd_age_years","137","87.2611464968153","dd_age_years"
"recode.sex_2","73","46.4968152866242","recode.sex_2"
"recode.sex_4","73","46.4968152866242","recode.sex_4"
"recode.sex_3","91","57.9617834394904","recode.sex_3"
