"Disease1","Disease2","Benjamini-Hochberg p-value"
1,2,0.000207176840270572
1,3,0
1,4,0.811896443365895
1,5,0.811896443365895
1,6,0.811896443365895
1,7,0.811896443365895
1,8,0.811896443365895
1,9,0.000983766608644225
1,10,0.811896443365895
1,11,0
1,12,0.00140974756909845
1,13,2.96424061121765e-05
1,14,0.00177746078424139
1,15,0.811896443365895
1,16,0.811896443365895
1,17,0.811896443365895
1,18,0.811896443365895
1,19,0.811896443365895
1,20,0.811896443365895
1,21,0.811896443365895
1,22,0.811896443365895
1,23,0.811896443365895
1,24,0.921165863922068
1,25,0.811896443365895
1,26,0.811896443365895
1,27,0.811896443365895
1,28,0.811896443365895
1,29,0.811896443365895
1,30,0.811896443365895
1,31,0.817645312075383
1,32,0.811896443365895
1,33,0.811896443365895
1,34,0.817176987137196
1,35,0.811896443365895
1,36,0.81215489142177
1,37,0.811896443365895
1,38,0.811896443365895
1,39,0.811896443365895
1,40,0.811896443365895
1,41,0.811896443365895
1,42,0.811896443365895
1,43,0.811896443365895
1,44,0.811896443365895
1,45,0.811896443365895
1,46,0.815698743829563
1,47,0.897916668094418
1,48,0.811896443365895
1,49,0.811896443365895
1,50,0.811896443365895
1,51,0.811896443365895
1,52,0.811896443365895
1,53,0.811896443365895
1,54,0.811896443365895
1,55,0.811896443365895
1,56,0.811896443365895
1,57,0.811896443365895
1,58,0.811896443365895
1,59,0.88679250719767
1,60,0.811896443365895
1,61,0.811896443365895
1,62,0.811896443365895
1,63,0.811896443365895
1,64,0.811896443365895
1,65,0.814655257179936
1,66,0.811896443365895
1,67,0.811896443365895
1,68,0.811896443365895
1,69,0.811896443365895
1,70,0.562964769060518
1,71,0.811896443365895
1,72,0.811896443365895
1,73,0.811896443365895
1,74,0.811896443365895
1,75,0.815698743829563
1,76,0.811896443365895
1,77,0.811896443365895
1,78,0.811896443365895
1,79,0.811896443365895
1,80,0.811896443365895
1,81,0.811896443365895
1,82,0.811896443365895
1,83,0.811896443365895
1,84,0.811896443365895
1,85,0.811896443365895
1,86,0.811896443365895
1,87,0.811896443365895
1,88,0.811896443365895
1,89,0.811896443365895
1,90,0.811896443365895
1,91,0.811896443365895
1,92,0.837750975877752
1,93,0.811896443365895
1,94,0.811896443365895
1,95,0.811896443365895
1,96,0.859970191758618
1,97,0.811896443365895
1,98,0.811896443365895
1,99,0.671541797060633
1,100,0.811896443365895
1,101,0.286516912904119
1,102,0.811896443365895
1,103,0.811896443365895
1,104,0.649647423674384
1,105,0.811896443365895
1,106,0.81215489142177
1,107,0.811896443365895
1,108,0.811896443365895
1,109,1.55380470394968e-13
1,110,0.883377611752122
1,111,0.8181476502472
1,112,0.811896443365895
1,113,0.811896443365895
1,114,0.853079939756528
1,115,0.86761469117558
1,116,0.811896443365895
1,117,0.811896443365895
1,118,0.811896443365895
1,119,0.811896443365895
1,120,0.811896443365895
1,121,0.811896443365895
1,122,0.834641915267353
1,123,0.87695233039808
1,124,0.811896443365895
1,125,0.811896443365895
1,126,0.822299966786291
1,127,0.811896443365895
1,128,0.811896443365895
1,129,0.849713046229653
1,130,0.814582675099805
1,131,0.811896443365895
1,132,0.811896443365895
1,133,0.811896443365895
1,134,0.811896443365895
1,135,0.819339805442044
1,136,0.811896443365895
1,137,0.83116744522419
1,138,0.822876657779916
1,139,0.459061252659753
1,140,0.811896443365895
1,141,0.811896443365895
1,142,0.811896443365895
1,143,0.811896443365895
1,144,0.814655257179936
1,145,0.871358469363801
1,146,0.811896443365895
1,147,0.811896443365895
1,148,0.814269747669676
1,149,0.811896443365895
1,150,0.811896443365895
1,151,0.811896443365895
1,152,0.811896443365895
1,153,0.811896443365895
1,154,0.816457647853836
1,155,0.811896443365895
