"Disease1","Disease2","Benjamini-Hochberg p-value"
1,2,0.000207011170052234
1,3,0
1,4,0.811877830310893
1,5,0.811877830310893
1,6,0.811877830310893
1,7,0.811877830310893
1,8,0.811877830310893
1,9,0.000982752071162496
1,10,0.811877830310893
1,11,0
1,12,0.00140068524239882
1,13,2.96275858710458e-05
1,14,0.00177431832763381
1,15,0.811877830310893
1,16,0.811877830310893
1,17,0.811877830310893
1,18,0.811877830310893
1,19,0.811877830310893
1,20,0.811877830310893
1,21,0.811877830310893
1,22,0.811877830310893
1,23,0.811877830310893
1,24,0.921178345982321
1,25,0.811877830310893
1,26,0.811877830310893
1,27,0.811877830310893
1,28,0.811877830310893
1,29,0.811877830310893
1,30,0.811877830310893
1,31,0.817621589348575
1,32,0.811877830310893
1,33,0.811877830310893
1,34,0.817179434250104
1,35,0.811877830310893
1,36,0.812162662357123
1,37,0.811877830310893
1,38,0.811877830310893
1,39,0.811877830310893
1,40,0.811877830310893
1,41,0.811877830310893
1,42,0.811877830310893
1,43,0.811877830310893
1,44,0.811877830310893
1,45,0.811877830310893
1,46,0.815671374826152
1,47,0.897917848757727
1,48,0.811877830310893
1,49,0.811877830310893
1,50,0.811877830310893
1,51,0.811877830310893
1,52,0.811877830310893
1,53,0.811877830310893
1,54,0.811877830310893
1,55,0.811877830310893
1,56,0.811877830310893
1,57,0.811877830310893
1,58,0.811877830310893
1,59,0.886896519259583
1,60,0.811877830310893
1,61,0.811877830310893
1,62,0.811877830310893
1,63,0.811877830310893
1,64,0.811877830310893
1,65,0.814607544679566
1,66,0.811877830310893
1,67,0.811877830310893
1,68,0.811877830310893
1,69,0.811877830310893
1,70,0.562888277732026
1,71,0.811877830310893
1,72,0.811877830310893
1,73,0.811877830310893
1,74,0.811877830310893
1,75,0.815671374826152
1,76,0.811877830310893
1,77,0.811877830310893
1,78,0.811877830310893
1,79,0.811877830310893
1,80,0.811877830310893
1,81,0.811877830310893
1,82,0.811877830310893
1,83,0.811877830310893
1,84,0.811877830310893
1,85,0.811877830310893
1,86,0.811877830310893
1,87,0.811877830310893
1,88,0.811877830310893
1,89,0.811877830310893
1,90,0.811877830310893
1,91,0.811877830310893
1,92,0.837757332424562
1,93,0.811877830310893
1,94,0.811877830310893
1,95,0.811877830310893
1,96,0.859981133220816
1,97,0.811877830310893
1,98,0.811877830310893
1,99,0.671556075052882
1,100,0.811877830310893
1,101,0.286524516013105
1,102,0.811877830310893
1,103,0.811877830310893
1,104,0.649681716346827
1,105,0.811877830310893
1,106,0.812162662357123
1,107,0.811877830310893
1,108,0.811877830310893
1,109,1.55380470394968e-13
1,110,0.883391890268753
1,111,0.818143475748164
1,112,0.811877830310893
1,113,0.811877830310893
1,114,0.853081643981436
1,115,0.867638635938335
1,116,0.811877830310893
1,117,0.811877830310893
1,118,0.811877830310893
1,119,0.811877830310893
1,120,0.811877830310893
1,121,0.811877830310893
1,122,0.834643354533975
1,123,0.8769521229905
1,124,0.811877830310893
1,125,0.811877830310893
1,126,0.822308099452749
1,127,0.811877830310893
1,128,0.811877830310893
1,129,0.849725793231704
1,130,0.814587709068134
1,131,0.811877830310893
1,132,0.811877830310893
1,133,0.811877830310893
1,134,0.811877830310893
1,135,0.819413081912872
1,136,0.811877830310893
1,137,0.831158675548704
1,138,0.822845577059332
1,139,0.459026455242074
1,140,0.811877830310893
1,141,0.811877830310893
1,142,0.811877830310893
1,143,0.811877830310893
1,144,0.814607544679566
1,145,0.871350557947457
1,146,0.811877830310893
1,147,0.811877830310893
1,148,0.814219551404798
1,149,0.811877830310893
1,150,0.811877830310893
1,151,0.811877830310893
1,152,0.811877830310893
1,153,0.811877830310893
1,154,0.816455029629794
1,155,0.811877830310893
1,156,0.83049740535132
1,157,0.811877830310893
2,3,0.811877830310893
2,4,0.811877830310893
2,5,0.811877830310893
2,6,0.641199510850823
2,7,0.811877830310893
2,8,0.811877830310893
2,9,0.751486335202324
2,10,0.934879226779035
2,11,0.811877830310893
2,12,0.811877830310893
2,13,0.697206798569642
2,14,0.0939144825629848
2,15,0.811877830310893
2,16,0.811877830310893
2,17,0.192345820654434
2,18,0.816619103653212
2,19,0.811877830310893
2,20,0.812162662357123
2,21,0.649681716346827
2,22,0.82162553752741
2,23,0.955451203250642
2,24,0.816619103653212
2,25,0.811877830310893
2,26,0.811877830310893
2,27,0.811877830310893
2,28,0.811877830310893
2,29,0.811877830310893
2,30,0.811877830310893
2,31,0.811877830310893
2,32,0.811877830310893
2,33,0.811877830310893
2,34,0.811877830310893
2,35,0.811877830310893
2,36,0.811877830310893
2,37,0.811877830310893
2,38,0.811877830310893
2,39,0.811877830310893
2,40,0.811877830310893
2,41,0.811877830310893
2,42,0.811877830310893
2,43,0.811877830310893
2,44,0.811877830310893
2,45,0.811877830310893
2,46,0.811877830310893
2,47,0.811877830310893
2,48,0.811877830310893
2,49,0.811877830310893
2,50,0.811877830310893
2,51,0.811877830310893
2,52,0.811877830310893
2,53,0.811877830310893
2,54,0.811877830310893
2,55,0.811877830310893
2,56,0.811877830310893
2,57,0.811877830310893
2,58,0.811877830310893
2,59,0.811877830310893
2,60,0.811877830310893
2,61,0.811877830310893
2,62,0.811877830310893
2,63,0.811877830310893
2,64,0.811877830310893
2,65,0.811877830310893
2,66,0.811877830310893
2,67,0.811877830310893
2,68,0.811877830310893
2,69,0.811877830310893
2,70,0.811877830310893
2,71,0.811877830310893
2,72,0.812162662357123
2,73,0.811877830310893
2,74,0.811877830310893
2,75,0.811877830310893
2,76,0.811877830310893
2,77,0.811877830310893
2,78,0.811877830310893
2,79,0.811877830310893
2,80,0.811877830310893
2,81,0.811877830310893
2,82,0.811877830310893
2,83,0.811877830310893
2,84,0.811877830310893
2,85,0.811877830310893
2,86,0.811877830310893
2,87,0.811877830310893
2,88,0.811877830310893
2,89,0.811877830310893
2,90,0.814450146747781
2,91,0.811877830310893
2,92,0.812162662357123
2,93,0.811877830310893
2,94,0.832784012611446
2,95,0.811877830310893
2,96,0.811877830310893
2,97,0.844646282855976
2,98,0.811877830310893
2,99,0.811877830310893
2,100,0.811877830310893
2,101,0.547403160121046
2,102,0.811877830310893
2,103,0.811877830310893
2,104,0.811877830310893
2,105,0.811877830310893
2,106,0.811877830310893
2,107,0.811877830310893
2,108,0.811877830310893
2,109,0.0516894010784858
2,110,0.832565000591189
2,111,0.811877830310893
2,112,0.811877830310893
2,113,0.813282223634432
2,114,0.811877830310893
2,115,0.811877830310893
2,116,0.811877830310893
2,117,0.811877830310893
2,118,0.811877830310893
2,119,0.811877830310893
2,120,0.811877830310893
2,121,0.811877830310893
2,122,0.811877830310893
2,123,0.811877830310893
2,124,0.811877830310893
2,125,0.697206798569642
2,126,0.811877830310893
2,127,0.811877830310893
2,128,0.811877830310893
2,129,0.811877830310893
2,130,0.811877830310893
2,131,0.811877830310893
2,132,0.811877830310893
2,133,0.811877830310893
2,134,0.812162662357123
2,135,0.811877830310893
2,136,0.811877830310893
2,137,0.826024403589823
2,138,0.811877830310893
2,139,0.811877830310893
2,140,0.811877830310893
2,141,0.826554522763453
2,142,0.811877830310893
2,143,0.845053045856464
2,144,0.811877830310893
2,145,0.811877830310893
2,146,0.811877830310893
2,147,0.812162662357123
2,148,0.811877830310893
2,149,0.841455789470378
2,150,0.814607544679566
2,151,0.811877830310893
2,152,0.811877830310893
2,153,0.834150830365345
2,154,0.814219551404798
2,155,0.811877830310893
2,156,0.811877830310893
2,157,0.811877830310893
3,4,0.557828762846481
3,5,0.811877830310893
3,6,0.811877830310893
3,7,0.678267493352357
3,8,0.811877830310893
3,9,1.17710675659857e-05
3,10,0.811877830310893
3,11,0.134606258619738
3,12,2.07398582419138e-07
3,13,0.131974040653342
3,14,0.811877830310893
3,15,0.811877830310893
3,16,0.820585435946817
3,17,0.812542263706296
3,18,0.823986487917709
