"","X101","X102","X103","X104","X107","X108","X109","X112","X115","X116","X118","X120","X198","X201","X202","X203","X205","X206","X208","X298","X304","X305","X306","X307","X310","X311","X313","X398","X403","X404","X405","X406","X407","X408","X410","X411","X412","X414","X415","X423","X424","X425","X426","X428","X429","X430","X432","X498","X504","X510","X511","X512","X514","X519","X598","X602","X604","X605","X608","X610","X612","X698","X704","X705","X706","X707","X708","X709","X710","X711","X712","X713","X714","X719","X798","X803","X809","X898","X906","X908","X911","X914","X915","X916","X998","X1001","X1015","X1017","X1098","X1105","X1106","X1108","X1110","X1111","X1112","X1113","X1117","X1118","X1119","X1198","X1205","X1210","X1211","X1215","X1216","X1298","X1304","X1305","X1307","X1312","X1407","X1598","X1601","X1605","X1609","X1612","X1614","X1615","X1616","X1617","X1619","X1622","X1627","X1630","X1634","X1637","X1640","X1698","X1701","X1703","X1704","X1705","X1708","X1709","X1710","X1798","X1801","X1802","X1803","X1804","X1805","X1809","X1810","X1811","X1812","X1813","X1815","X1816","X1817","X1898","X1998","hs_cancer_types_lipoma","hs_cancer_types_mast_cell_tumor","hs_cancer_types_melanoma","hs_cancer_types_other","hs_cancer_types_soft_tissue_sarcoma","hs_cancer_types_unknown"
"Intercept",-5.58713400878159,-7.15885645717807,-7.08737457140788,-5.30588500605719,-3.87822905470255,-2.80999023433614,-5.125876565563,-6.45673287159871,-5.83835367942137,-7.91833480970733,-20.2122787024051,-7.05635434618129,-4.10060373303175,-6.82525123736644,-3.06065593124315,-5.29257883736392,-8.96066529724824,-8.3450791615588,-5.91606222002685,-5.21188278492786,-2.22597210405035,-2.55758999859725,-3.63260774413026,-4.52128879539128,-4.16525230047043,-1.37465059565614,-3.25978405358969,-4.30644862996508,-4.81475862864838,-4.63597874336707,-4.11159839065974,-5.2841238497641,-5.63212830557569,-5.69294682596993,-4.09716169683189,-3.2568606907412,-4.14656194210861,-6.34154330223487,-5.18605860862037,-3.255247272955,-4.27498382940817,-18.8354514300481,-3.43429330208418,-4.84133797094567,-19.8974688554158,-5.76219558744261,-3.66620402671914,-3.8523527165626,-3.48230242636051,-7.24131435203173,-20.6611469155407,-20.3651411622567,-20.6532302481198,-6.5935975537114,-5.8953265186287,-18.9903911987765,-6.5102620514602,-5.59496954991517,-24.6601890885095,-6.42416718249548,-4.47186286692267,-18.5891395050267,-3.47475332119823,-3.6884948593849,-5.04829960376753,-8.32404096300931,-2.80156988729965,-3.67871540840007,-5.08209837053723,-7.48805153686732,-3.71241004265978,-3.68883344630202,-4.49513935879449,-5.01769228504597,-4.57387162572066,-21.7819769937463,-4.71579610442827,-5.29713885886849,-21.625851948507,-20.3936814778577,-20.4471391234319,-3.98801592245108,-7.1865564139533,-3.44881898322474,-5.77936304833974,-21.8490850855103,-4.0329805424178,-4.03718633484277,-4.03616517982083,-19.1997889920882,-8.01131845406079,-6.30591108429054,-5.65211664598653,-18.4644484975986,-5.570683063412,-8.27108447458093,-3.15370499073512,-23.3891244304549,-21.3271760508871,-4.99534683109215,-10.4020619725283,-19.6786408287385,-11.1525322714255,-4.9082782267785,-10.2697186492352,-5.29737587879494,-20.3001046331927,-20.1217016331285,-5.62960358144505,-7.4519595159718,-7.00203905179627,-3.91616111470912,-5.02841705092262,-3.29952081391183,-2.69920606564291,-6.45821372300013,-5.57107597589834,-5.49516977485199,-4.51295717195283,-1.54291739521239,-18.0230390254874,-2.9045943798753,-4.74596765043022,-4.23470996053488,-2.78694161058021,-3.3610443566104,-4.93274763577067,-5.09268922926244,-3.87851838337433,-4.16337704821884,-3.98362336417492,-3.95515297763998,-5.89283433765633,-5.92047953441605,-6.60441860575438,-2.92953543240243,-2.62378209361414,-4.99603574807068,-4.50005416703827,-3.97832947314432,-3.98339653075223,-5.0525664076026,-4.68905615692991,-6.60274364564096,-3.65042978087251,-4.35246666625231,-6.24546572540579,-4.85764418599076,-3.99906039108028,-3.14017041989346,-6.40406727433889,-20.3008505879386,-20.0516827357503,-21.3852554248814,-8.03617054285158,-21.9754685780906,-6.15178293058082
"dd_age_years",0.232193416431999,0.382419933495894,0.288825472442917,0.145040975940179,-0.0152570214261858,-0.0768401718282969,0.131465703310136,-0.0361249796034415,0.0456332232895308,0.287571659627568,0.170841139354982,0.145296027694833,0.0864720824283012,0.330985770972168,0.0339454146443128,-0.021548460349948,0.47379857994357,0.198554919770391,0.0503046769141271,0.0348630529615972,0.153546193770796,0.185720908703287,0.10675413001244,0.148561329288887,-0.0206304472004955,-0.141708079278695,-0.035438294192564,0.0637701739563038,-0.0692325564306582,0.0553289365114687,0.0157410969024372,0.0930833566431811,0.0969772010566671,-0.00217075403012748,0.0841311167892906,0.0511463175170535,-0.00740328121158465,0.151982534632724,-0.00237138119847725,-0.00930774518841119,0.0017841160938881,0.000986102246059176,0.0118003322496234,0.157133156490849,0.12379653232419,-0.044346175372553,0.0367391634199067,0.0284306781482738,0.16753220868648,0.165682714155851,0.162547059361692,0.292415969662632,0.268895602299127,0.191141797069689,0.16432799849436,0.162492456533078,0.151521530620424,0.170144543898625,0.446561436123241,0.00964942815913067,0.190396635695445,0.0866256473279188,-0.0934277574258708,0.056253198492122,-0.014269814253692,0.171388719393214,-0.0172745844659416,-0.00894898780194642,0.0257773694827818,0.250410115495389,-0.00936230539364809,-0.0267016134714329,0.0399670240576747,0.00832386962826287,-0.00255438754260234,0.273412982976628,0.141635845534618,0.174736055828995,0.278153780687112,0.316377201011482,0.184250956348758,0.0791834321424285,0.116391277761444,0.0618143280246266,0.079907501688837,-0.132057036386277,-0.09894964437727,-0.0870054758367086,-0.0695477852710064,0.132151697408143,0.273076231734908,0.044796951235512,0.0998231664111148,0.164837235607673,0.116404902045455,0.324242606103476,-0.00312739929453046,0.326353745879915,0.206869654652301,0.0530778068170752,0.482212188327413,0.182799714524182,0.418153346143927,0.118628425752431,0.436696052984453,0.119745531616283,0.0885017636335515,0.299597623321339,0.166317894572046,0.219049072333338,0.158556426297573,-0.00266708827029719,0.0640767248658821,-0.0551023695829458,-0.137413577397067,-0.0284567005772251,0.0149392287277555,0.00124741635922802,-0.0686609925520225,-0.108802061397736,-0.0191537219233435,-0.105862631121041,0.0948479078120523,-0.064590887535104,-0.0776097858001266,-0.00754590786254152,-0.0369550140527438,-0.0190083606751403,0.0361357166590787,-0.016344114885741,-0.0511186118777732,-0.0168017391054547,0.056936619716662,0.0706575276694663,0.044154130451187,-0.0188902268933522,0.0499375423512465,0.0704429996267443,0.113600344117996,-0.0245967802513453,-0.0309140364370602,0.0493920767269058,0.0479010991226945,0.0383915973273143,-0.00535227400513,0.0223090692315031,0.0657748630817798,0.0331623758083787,0.0311756018711201,0.0251626811293182,0.0348861838500388,0.192076576671401,0.157325535300378,0.210695133238308,0.225559357433258,0.271931023683397,0.252331510795754
"dd_weight_lbs",-0.0138684981441281,-0.00785433017322099,-0.00766276641643345,-0.0199331328472835,-0.00738054388633921,0.000164699500316415,-0.0115729341965621,0.0214536574517721,0.00605991335390016,-0.0068718668970299,-0.00426839518387773,0.00479012604220465,0.000908734063719726,-0.0082457257275976,0.0112591365762277,-0.000783899509277183,-0.00480209344902134,0.0197061427857021,-0.00925757867355951,0.00154980564721206,-0.0157815771743397,-0.0293028953111109,0.00221523988588384,-0.0136282452906451,-0.0160494204419,-0.0598250372526617,-0.0325579905770812,-0.0023048516097354,-0.00564150798216294,-0.00181712422656716,0.00273618544748185,0.0131166750235682,0.00927149696722927,0.00561740136069788,-0.00352131584444494,-0.00508792748676678,0.00749736523426105,0.0150173603998021,0.00838009232423187,-0.000919098888134963,0.00587407430282529,0.00182062945124274,0.00368365264195942,0.00459845868463643,-0.00467360731277386,0.00605051810714425,0.00304114069569043,0.00391928524282123,-0.0201695646076015,0.0046661352261042,0.00598090156206774,-0.0317397567476758,-0.0135591069518556,-0.0163474938049192,-0.0086292836340213,-0.0379073338948869,-0.00938156613938116,-0.0217617317481244,0.0356361824250535,0.0058829678983348,-0.0852025108730386,-0.00754520642217711,-0.0098433908379418,-0.00534681259848974,-0.00734445400204437,0.0232220779345223,0.00165241237850622,-0.00927416642666952,-0.0106861307748716,0.0111489463374625,0.00473689823576908,0.00551366886985124,-0.00343548519292961,0.00041976590676394,-0.00240923839476195,-0.0112357120858922,-0.0117474016976306,-0.0101085794862992,0.00804668940423698,-0.00625193982908159,-0.00178595529911662,-0.015699887737001,0.00996102557773934,0.00386737515661507,-0.000353822197744782,-0.00186476665209289,0.011344797238419,0.00205803342049131,-0.00185790463986577,0.0180167283294108,0.0164194357674267,0.0132198403286417,0.0183041239526413,-0.0216593575131088,0.00958505326056346,0.0195882900418318,-0.0550744166643537,0.0146464870043078,0.0123459208530109,0.00079970786558708,0.00103814549435411,-0.0209713152700431,0.0335765576676089,-0.00365549022536031,0.0123950584524358,-0.000152205176999894,0.0060083351603888,-0.00932890136903533,-0.017181806540844,0.0144293558661609,0.000148271595415709,-0.000614870561696944,0.00802544938899573,0.00312534754899224,-0.000760136559270703,0.00402193388547718,0.00778824063658968,0.00143373275035821,0.00348426649744821,0.000514832970970651,0.00569655259624449,0.00234591137335444,0.00716626539442636,0.00509794149824326,0.00549309762555967,0.00365820683083466,0.00484419819488308,0.00201569620119641,-0.00487512427510509,0.000997158033252414,-0.00357638216968365,-0.00594229457959014,0.00515329377496735,0.00322730666576232,0.00489147609850284,-0.00341882248057384,0.00446330486154971,0.00228618150261762,-0.00412303220583576,-0.00529892457789833,-0.000546822848096733,-0.00388174171845515,0.00319485635164352,0.00471936751748993,0.0103947317222362,0.0119750950667234,0.00884824982347246,0.0132485033938451,0.00610115850853659,0.00351439323339169,0.00382557473470611,0.012726712912603,0.0133055558087701,0.0136013868259289,0.0111849102215178,0.0156795663929071,0.0115084604408233
"recode.sex_2",-0.48158939400934,0.613792006461488,-0.774255927836494,0.799177465944297,-0.427838207014407,0.011747263854807,0.356886789721444,0.834405676934883,-0.302000365617489,0.446211406965933,13.1718715472066,-0.0201571896373199,-0.114947781305422,-0.0947783538890634,-0.0337391152082901,1.21763056325212,0.441928208612645,0.424719085129116,0.413581654884246,0.711922756098101,0.103249770079618,0.616027460015005,0.165581594879894,0.570429227864854,-0.179563729342726,-0.11467354068155,0.244428300307897,-0.0672325739103543,-0.0501491533693556,0.277091466700898,0.479753218646893,0.454433304663743,0.572889591615955,1.42036079342129,-0.72696820388969,-0.502632707513169,0.46148123797676,-0.356127368368685,0.61928808235807,0.367715263860089,-0.193323752943502,13.1440281911473,0.716452882074993,0.210745107236155,13.4651280703091,0.32651399357727,-0.37967718514866,0.128604930967954,-0.145874400294357,0.0792649336873212,13.4588832012289,13.2153905488638,12.8715693679205,0.32440660632877,-0.588967631368162,13.3617377017779,-0.0192446889504011,0.0187125338396512,12.6539589425812,1.10381214366839,-0.16924141270541,13.1338101690719,-0.756192464966746,0.163976699219933,0.132561642639858,-0.315638705508831,-0.549895527572541,-0.10970408072502,-0.452619044909318,-0.874642402192743,-0.0555094083059854,0.115515672206114,-0.0437415013166644,-0.185780293689962,0.884617455187591,14.0418457182739,0.484636304366183,-0.449323969447556,12.8136648631399,12.9717214927122,13.2148011734205,0.337970399919736,2.84003230929406,0.178347003934062,0.767573514248804,0.975060176928656,-0.160689614116201,-0.320352000948168,-0.410353554747179,14.0643335043472,0.551736613540898,0.394476470268954,0.381191994899623,13.6382435811106,0.259030731037073,1.68731712060834,1.60769400408874,14.3868005831552,13.5078117266052,1.13101874436577,-0.108228851875679,13.2370935290709,-0.991884260591715,0.369898779379732,-0.105973119124585,-0.229438182325043,13.4982358542038,12.6608859707708,-0.732459989909599,0.939569021807218,-0.250752615065017,-0.602893748961119,-0.313082186557308,0.634369485940632,-0.0293431947620162,0.294132218846419,0.206716138586244,-0.244304941128243,0.884674386542536,0.0454513857781132,13.4211218463207,0.0875914405581289,0.00512329829310716,-0.629857309615345,-0.275502517046081,-0.28506561292604,0.419206030941721,0.71608396838605,0.8768748314455,0.266156004399418,0.543668512885786,-0.0309959809842183,0.225980031373516,0.38691066683931,0.800233277910939,-0.33820251916594,-0.0717132764000084,-0.12718427740803,-0.397683413493574,-0.0971808116286798,0.0731827614694823,-0.148737141802436,-0.292797989313361,0.212044906008375,-0.0571983137883706,-0.275409202941471,-0.105742616146559,-0.431664039134843,0.609101716586424,-0.0156751273769565,0.771960797664815,12.9451804487785,13.978152844229,12.8778396912484,-0.533751933181582,12.8074740380935,-0.586162688715829
"recode.sex_3",-0.0657498004716237,0.610896700452259,-1.69618829253568,0.53936257352613,-0.0943773825268017,-0.0541407540878708,1.04783008282643,1.01117731969524,-0.210555776970582,0.398258270043927,12.4758954198286,0.0963506393683048,0.0446339952286779,0.00500836199963008,-0.283262372989625,0.705699632648225,0.00686162160775863,0.939899882050734,0.023319815863002,0.30435700044019,-0.100228526223562,0.317576307629653,0.02958797092133,0.68448399425232,-0.224148483847622,0.500697669737091,-0.241587700192173,0.377499775424663,0.537962760988081,-0.77752560105879,0.461570990488539,0.727743881581758,0.597708796885709,1.27029675123802,-0.382874820103398,-0.144198398857258,0.28965180564838,0.414714355558396,-0.181280719131786,0.229024120419524,-0.281960654789623,13.0857306301019,0.375148287050564,-0.372605711546723,13.9681902292489,-0.760192236978515,0.320340580984793,0.08038877957123,0.467880469563741,0.933145612508736,13.0446411945838,13.7165620823104,12.3234536216456,0.583161642689465,0.0759873481294761,12.5965627817679,-0.818045384790262,0.772957330440226,11.1668400791588,1.35900817559749,-0.247713496562481,14.0932858024548,-0.491990188393523,0.100582810749393,0.0909058030465565,-0.375229811419703,-0.264457391959007,-0.343076511672997,-0.621517359746823,-15.5313683127585,-0.0660144353753436,0.0825767517586547,-0.140097952494165,-1.85012029446013,1.03467139957008,-0.215462448905711,0.0998438106183532,-1.14093504693867,13.1978787655652,11.1777154068797,13.5255271451454,-0.145436570726174,-0.372483263826463,-0.80948597636574,0.430899980179699,18.0575140553073,-18.8597194707339,-18.1775530873563,0.0724090683239127,12.773835495601,-0.956619335572317,1.04168254222089,-0.186571136912417,14.1099510580237,0.346878789473553,0.973691618279256,0.98217496838206,-0.641357379154327,14.1008398113277,1.2997438080364,-1.16240420127052,13.652583230658,-1.84524476643774,0.876733547563576,-0.636710217247587,0.445698707467932,13.1823180315667,12.3414572422761,-1.473331382459,1.34295634274949,-14.6084757957513,-1.19877929828477,0.310902791044631,0.386610803787424,0.0644667046375202,-0.0403510993712211,0.518599874690483,-0.344820772620893,0.890652086942931,-0.146975293147112,12.03740442565,-0.563905735788824,0.648169040975812,-0.729432061908172,-0.184634590067762,-0.255772797929793,0.0587348492093043,0.576039907429009,0.649919161469058,0.0451609872387657,0.243503126257363,-0.0130161945796132,-0.489472635043192,-1.56634881736538,0.23912462058026,-0.465659609184024,0.103229778406125,-0.155434060014714,0.00631589077799827,-0.106856166570279,0.21112112975768,0.250721956038933,-0.286975951298753,-0.152773763490955,-0.219316976068835,-0.591941899068409,0.837158314548457,0.0543573647297411,0.682357166437304,-0.122601305194094,1.47057274751281,11.8576221448393,13.0033652616437,12.7982589917072,-0.513828113982949,11.9508228480607,-1.03855728169366
"recode.sex_4",-0.234545034297862,0.77451287139638,-0.472793270281324,0.898289482511514,-0.156620528145214,0.0152919149948149,0.614119146663929,0.971963267604176,-0.569111932456837,0.496689010078154,13.2849321367583,-0.0647784395719884,-0.00556695170161915,-0.0281423395901241,0.0813965806594833,1.23775991651087,0.527731208189891,0.368816360911663,0.352344675761839,0.758193078358982,0.204590606172695,0.685617162442255,0.00193991759658203,0.804716301062674,-0.018705939262703,0.282237811766416,0.425234948823624,0.101477184006504,-0.00954136556465484,0.256829103949824,0.554788676409315,0.695034011159249,0.737241743762293,1.49185181035999,-0.56599446421851,-0.361366098173191,0.761001802458652,-0.196895277031576,0.417096234371984,0.464971073872593,-0.42168200991186,13.0872254881097,0.806371411537052,0.0682672268852699,13.4263852051217,0.301230284219964,-0.426663708370376,0.106016188410098,0.0590344936872239,0.52574353777196,13.5848081382022,13.5406204259501,13.013378554657,0.550309910340905,-0.435684745595904,13.5497678661267,-0.260971934059598,0.461978379921045,12.74904576352,1.39768001674907,0.236714322057372,12.9367099482812,-1.00794932575666,0.103135227055424,-0.0171399402807013,-0.129932860280835,-0.30998510302446,0.205442449222899,-0.271065450558697,-0.850279856515385,0.227219604453098,0.309616695787797,-0.137608577892699,-0.0384700095980735,0.895967192891797,14.0099555473324,0.498282966027773,-0.509415170718766,12.4914425331277,12.4645228887811,12.6678091617389,-0.0348661252150424,0.957614058871725,-1.46823680817004,0.274293881942546,18.5180979098728,-18.3730167052204,-17.7319891060298,0.135772797138168,13.7525804326375,0.442948460681325,0.579168394789011,0.189227148868752,14.0256695986746,0.214254680276567,1.55912176168238,1.61387761738091,14.5265384608759,13.4090143140632,1.19165426646858,0.127734116007436,13.747438448393,-0.833097568323579,0.690624387364386,-0.22696094181278,-0.0709698058965118,13.5027916044762,12.5100631626211,-0.559010735264458,0.901649238654899,-0.238033172352745,-0.499597279302795,-0.252609030208922,0.684218118212258,-0.145882404205136,0.455024611622971,0.320707783766323,-0.443952590036126,0.918245229520449,-0.0134327828607183,13.3780405250778,0.0377110222618243,0.0771699504299732,-0.61838065536338,-0.452016891959562,-0.245123662595484,0.085906215038673,0.932204973808051,0.969132850723122,0.504137857636086,0.468005186016311,-0.148669838208857,0.287888772960002,0.184682526414892,0.54991253686729,-0.282513363089638,0.0240664388403777,-0.136436855887858,-0.212348339984491,-0.0210853876173493,0.124638575532192,-0.100406933845751,-0.237176800601108,0.599417777505249,-0.11586403258009,-0.482140577420241,-0.0140491011881968,-0.554070604242391,0.761701327201328,0.125705285065643,0.85522004359877,13.1031903738411,13.5533161980096,12.8579510799171,-0.303323525056905,12.7054983989301,-0.708195674116016
"mixed.breed",-0.440688429184849,-0.25692766840955,-0.324107681425236,-0.955821067047856,-0.218380317435058,0.0229068059005561,-0.654146593454174,-0.973040145810629,-0.857682039276577,0.265805921368269,-0.417387698871087,-0.49439474400947,-0.36577367798898,-0.146606536480936,-0.301998525359418,-0.0416667518312171,-0.197090692401809,0.086965778712414,-0.088570671633451,-0.211694552051704,-0.0499599797179558,-0.140446241676571,0.158023321911263,-0.206935653027501,-0.449302336674507,-0.479916160320503,0.704166394899169,-0.24334449241218,-0.680554822105457,-0.183396424646135,0.0394560428290951,-0.11016693385835,-0.269578960527359,-0.0527801548707612,0.337946104979056,0.385525898303459,-0.050486361105705,0.0992969769194332,0.197410645292701,0.149954315269324,-0.428848254703416,0.83938537197926,0.0690602719667875,-0.11010350008458,-0.416251895001591,0.881182590136517,0.251494701507519,0.0505159582404227,-0.116932159091293,-0.100053971749435,-0.216289346396973,-0.0980433928399946,-0.246010774810635,-0.156708372327877,-0.565365702175855,-0.309172439082342,-0.247613203666961,0.106979289869107,-0.561068450247344,-0.250149240792415,-0.012598696666065,-0.222185519592948,-0.364151943368892,-0.107083982560076,0.129010761785099,-0.497045434153914,-0.0950793189042932,-0.124949278192664,0.138975007248185,-0.452780163796905,-0.109193254290855,-0.0976357727910936,-0.121994594487212,-0.384340374438107,-0.166492105159572,-0.204702346197254,-0.290932250170394,-0.0101558432319146,-0.0929590341354606,-0.0357925505719105,-0.173159553514912,-0.248947130154025,-0.181914677399788,-0.365848649598215,-0.0301092835630008,-1.63911548042949,-0.173167993762831,-0.542225673235637,-1.12342227263657,0.187989014798239,-0.130447724304225,-0.214276776438087,-0.0330175257744767,-0.653695192941324,-0.00135333362578466,0.0113306603755266,0.105750685575473,0.0583584280701825,0.0816918687566922,-0.0465505897077765,-0.350285953745005,-0.256930798149833,-0.556199535551036,-0.180101371593036,-0.0551569615295726,-0.191564572085296,0.157049182342947,-0.0336100176055778,-0.3529355985016,-0.108025141860867,0.0330929499402234,-0.502505307231401,0.0604806458982877,0.221467570234474,-0.341156148792843,1.03221376322046,0.479927881078217,-0.0219537210991122,0.468601903531307,-0.0995935499827155,1.09993287386944,0.152909319572176,0.158014584781631,0.861669253591294,0.163035110246019,0.40799580167172,0.532184931187201,0.295802417282726,0.241988338926971,0.123148047343899,0.187780058734127,-0.0901299646523491,-0.335825660008895,0.068849189221468,0.259794467701315,-0.136505378446591,0.263613444802834,0.318689170649103,-0.277653264166816,0.0587283095375924,-0.187904210499442,-0.0171542757655452,0.743381280941163,0.42494817302149,0.262269274061221,0.0615392863751451,0.360269232800324,0.524704786627864,0.17138738982475,0.0805040746546368,-0.433172407336042,0.371698812468993,0.039823274786781,-0.15055957702102,-0.0461853716694351,0.00800280529388075,-0.0533213835645304
