"","mixed.breed","dd_weight_lbs","dd_age_years","recode.sex_2","recode.sex_4","recode.sex_3"
"X101",0.234881706640589,-0.015332344398071,-0.220626977547284,0.224609259393362,0,-0.36929676337253
"X102",0.37615649255686,-0.00714883308839408,0,0,0.146062067310651,-0.195335945947657
"X103",0.266458883555243,-0.00768520865054329,-0.337999817759284,-1.06280939239629,0,-0.281596291176716
"X104",0.146620348740333,-0.0171905887560938,0,0,0.00225781274338556,-0.80027205732819
"X107",-0.00228418648920738,-0.00464457044491188,-0.188055458221399,0,0,0
"X108",-0.0614745079831119,0,0,0,0,0
"X109",0.134116769045951,-0.0120765803144879,-0.201819527919196,0.412690296324477,0.0668626250976843,-0.636871807916111
"X112",-0.0192395056297224,0.0210878780172026,0,0,0,-0.650607474906322
"X114",0.137850670146965,0.0146194996393241,-0.158725183086504,0.28796838498586,0,-0.505542283249992
"X115",0.014067231412264,0.0045884071203344,0,0.413920408662558,-0.184722546139264,-0.850898546507104
"X116",0.290517260384874,-0.00487712943741303,0,0,0,0.119307730377773
"X118",0.17418502697908,-0.00246188995051597,0,-0.424591844550948,0,-0.382094850700637
"X120",0.110309315432727,0,0,0,0,-0.502281563321531
"X198",0.0800306506395835,0.000242949267184357,-0.0552100172850914,0,0,-0.365914102148273
"X201",0.323363626624055,-0.00772715781621995,0,0,0.00370395787342632,-0.0755943498149681
"X202",0.0340190305273927,0.0110491854454946,0,-0.205365830841192,0.105501690940022,-0.27009237531633
"X203",0,0,0,0,0,0
"X205",0.479305294942475,-0.00496211763349513,0,-0.401175380311999,0.0663961182252873,-0.208120697117291
"X206",0.180088909183802,0.0175577901738114,0,0.359356412104738,-0.0309797152635965,0
"X208",0.0302017501013764,-0.00596902766084226,0,0,0,0
"X298",0.0228644175440479,0,0,0,0,-0.00798930553883047
"X304",0.15300417093907,-0.0154044356239392,0,-0.134653748645883,0.0792848810367973,-0.0175305271239693
"X305",0.188833319985544,-0.0283551509840622,0.40333004559621,0.00257922575643553,0.488590900021983,-0.12174865712034
"X306",0.10893351746108,0.00167534353129822,0.14848182293775,0,-0.0125710588766354,0.119442351201228
"X307",0.148592293506777,-0.0130956125393679,0,0.166391690425273,0.204499893975183,-0.124216504310739
"X310",-0.0288132092013403,-0.0159322002432548,0,-0.238476247953511,0.0668959914795758,-0.357515265215176
"X311",-0.134390124065688,-0.0573652962916668,0,0.266884212826368,0.301572656771605,-0.518287243221051
"X313",-0.0267626169880082,-0.0319860492397508,0,-0.279754681246137,0.117211933439494,0.619989810449172
"X398",0.0652491361893151,-0.00338182838940716,-0.12810738258134,0.213411120023691,0,-0.282640146147913
"X403",-0.0841686546587181,-0.00503274318445967,-0.285401565425865,0.305073801004668,0,-0.659862386888642
"X404",0.0454286034407837,-8.38893217668025e-05,0.486827106075738,-0.59713259957148,0.498693550704598,-0.265593064178935
"X405",0.0140423663902873,0.00215523932358685,0,0,0.0847687959328446,0
"X406",0.0923288831459303,0.013295705945629,0,0.115848499043308,0.238444885787105,-0.0973064607900096
"X407",0.0872964714128092,0.00794448479622117,-0.0879505844126997,0,0.0906827115246227,-0.245616190662171
"X408",0,0.0034665842955766,0,0,0.0542703965765427,0
"X410",0.0796095251151329,-0.00326493474220848,-0.175685934303787,0,-0.0614004222017669,0.321946055950434
"X411",0.0470634577245199,-0.00432442510299174,-0.108295334246082,0.127141347355319,0,0.351609864897136
"X412",-0.00892494266741103,0.00672908502146221,0,-0.234813753831413,0.277106371695974,-0.0272897262974268
"X414",0.152746838459907,0.0140446969217711,-0.0706982875184059,0.772690911974194,0,0.0571550360931362
"X415",0.00247372460734054,0.00657057664812171,0.223443426308187,-0.272354939911268,0,0.150673337387009
"X421",0,0.00157840692994482,0,0.839670962701646,0,0
"X423",-0.00505530513189016,0,0,-0.129574221112133,0.0984496145819267,0.146692149804514
"X424",-0.00298453073314448,0.00670862136888982,0,0.0964580004714075,-0.150123477654406,-0.306486495235867
"X425",-0.000107211317160681,0.000405914788690521,3.07614474341927,2.69409839465517,2.92885336064806,0.709102564457542
"X426",0.0110814613307044,0.00336950491381654,0.358818953863216,0,0.449349462365297,0.0527987479838932
"X428",0.156614324354301,0.0042164274718939,0.158217653609478,-0.297046594606774,0,-0.0852433713033524
"X429",0.114073954105594,0,0,0,0,-0.327056524495823
"X430",-0.0509653637425345,0.00576798237711903,0.004575485043185,-0.689258384729975,0,0.939635501399261
"X432",0.0308630020389949,0.00266930493469344,0,0.531231631389297,-0.0190314061656967,0.241579143541396
"X498",0.0214656311165123,0.00212978528596899,0,0,0,0
"X504",0.164226154779007,-0.019280227058276,-0.187683059408338,0.297275365381175,0,-0.132055900078684
"X510",0.154754169187519,0.00292877326206647,-0.387062070070586,0,0,-0.0153272514577868
"X511",0.155982821552046,0.00567025775914118,0,-0.483113086874002,0.090117409140437,-0.116332167340456
"X512",0.281325657141214,-0.0291538254367993,0,0,0.244675779622878,-0.0532014464150533
"X514",0.257827110434183,-0.00729462607575719,0,0,0,0
"X519",0.191125833275419,-0.015516325530956,-0.0252727398649556,0,0,-0.240446474261339
"X598",0.146294676280771,-0.00882970312909006,-0.646375263597037,0.146806569775986,-0.535807001009261,-0.569132775820406
"X601",-0.0992156634177912,-0.038752835847737,0.411310860820759,0,0.420062777497577,-2.3479964613384
"X602",0.165994202121169,-0.0355870658494246,2.59947710608879,2.26206532199263,2.68887145122163,-0.380782141919656
"X604",0.128701332985092,-0.00400280229672964,0,0,0,0
"X605",0.172377386626829,-0.0158589394248358,-0.376989702808375,0,0.000643440975945978,0
"X606",0.106092154887967,0,0,0,0,0
"X607",-0.0197861425195574,-0.0173823919223913,-0.0329182845156161,0,0.253536314725259,-1.26692000815992
"X608",0.465301484277961,0.034730593455312,0.980890556820072,-0.0708493599823271,1.09509438764247,-0.549451518870707
"X610",0.0201591311200653,0.00621101262205505,0,0.358010338002855,0.217319279864786,-0.156963510777579
"X612",0.169842570590368,-0.0771089604716816,0,0,0.313495687228763,0
"X698",0.0696285114815926,-0.00845227452686213,3.01611195264717,3.89537206851968,2.86524313166551,-0.188834249816505
"X704",-0.0952405267917134,-0.0105547605653643,-0.551112793774234,0,-0.6388221445681,-0.393024891853053
"X705",0.0543504165482225,-0.00421899359135324,0.0531104056886051,0,0,-0.0453611579171625
"X706",0,0,0,0,0,0
"X707",0.165638647434168,0.0210125376289418,-0.216271456927679,0,0,-0.487179056357938
"X708",-0.0134500351495607,0.00209019355795094,-0.199961066437178,0,0,-0.100076676234805
"X709",0,-0.00643579703176398,0,-0.0321095431966396,0.274791835437202,-0.0607103816467566
"X710",0.00178888396568474,-0.00695458798069617,0,0,0,0
"X711",0.217538688944483,0.00995006077583897,0,-2.23245880205273,0,-0.469905226130965
"X712",0,0.00516934422166386,-0.0295515477948694,0,0.141231062628908,-0.133984663997886
"X713",-0.0220193060798288,0.00471893006316643,0,0.0617583375070353,0.177552519535596,-0.0403010116190542
"X714",0.0350746825861581,-0.00211732572817734,0,0,0,0
"X719",0,0,0,-1.01566508894483,0.0285999497650621,-0.325516858427549
"X798",0,0,0,0,0,0
"X803",0.252556365836455,-0.00382549837653802,0,0,0,-0.00214181685680181
"X809",0.151505093957927,-0.0115295233882693,0,-0.266477075762483,0,-0.205932511999268
