dog_id,dd_age_years,dd_weight_lbs,recode.sex_2,recode.sex_3,recode.sex_4,mixed.breed
81851,4.75,59.6,0,0,0,0
87835,13.16666667,31,0,0,1,0
38188,6.666666667,72,1,0,0,1
32899,2.5,11,0,0,1,1
95758,12,82,1,0,0,0
24386,6.916666667,72,0,0,1,0
65585,4.25,45,1,0,0,1
37601,10.5,48,0,0,1,0
1531,12.66666667,42,1,0,0,1
70850,3.916666667,54,0,0,1,0
18319,2.75,17,0,1,0,0
32081,13.75,75,1,0,0,1
100332,11,30,0,0,1,1
70566,5.166666667,19.5,0,0,1,0
83685,12.33333333,31,0,0,1,1
66289,3.333333333,9.8,1,0,0,1
94125,4.5,62,0,0,0,0
29926,9.583333333,22.1,0,0,1,0
84317,0.5,48,0,0,1,1
83508,9,65,0,0,1,1
97331,1.083333333,51,0,0,0,0
53322,12.41666667,49,0,0,1,0
10880,9,96,0,0,1,1
11183,10.83333333,25,0,0,1,1
44979,13,68,0,0,1,1
79281,4.083333333,44,1,0,0,1
34068,10,64,0,0,1,0
11753,4.833333333,29,0,0,1,0
94428,7.75,46,0,0,0,0
79976,8.5,67,0,0,1,1
54801,8.166666667,60,0,0,1,0
88699,6,81,1,0,0,1
36702,6.166666667,16,1,0,0,1
27099,1.666666667,72,1,0,0,0
54740,12.41666667,65.4,1,0,0,0
52593,3.75,52,1,0,0,1
18270,3.083333333,24,1,0,0,0
89716,9.833333333,47,1,0,0,1
1540,10.66666667,55,1,0,0,0
80155,7,65,1,0,0,1
92893,2.333333333,65.4,0,0,1,0
41347,15.41666667,7.5,0,0,1,0
17431,13.66666667,8.5,1,0,0,0
94806,4.75,47,0,0,0,0
5137,4,65,1,0,0,0
40629,7.083333333,69,0,0,1,1
87598,8.583333333,66,0,0,1,0
14769,14,22,1,0,0,1
15440,6,36,0,0,1,1
43971,7,88,0,0,1,1
100321,6,18,1,0,0,1
62046,4.083333333,54,1,0,0,1
93243,8.166666667,32,0,0,1,0
15649,2.416666667,31,0,1,0,0
82711,4.833333333,12,1,0,0,1
7781,13.58333333,20,1,0,0,1
40593,5.25,67,1,0,0,0
52897,2.833333333,59,1,0,0,1
68759,10.58333333,60,1,0,0,0
20089,12.41666667,60.8,0,0,1,0
94259,0.333333333,25,0,1,0,1
4828,11.08333333,91,0,1,0,0
6377,9,11,0,0,1,0
38283,11.25,55,1,0,0,1
94354,8.833333333,28,1,0,0,1
58548,0.333333333,25.5,0,0,0,0
53629,7.416666667,52,0,0,1,0
84665,0.5,7,0,1,0,0
57461,7,9,1,0,0,0
58418,2.416666667,23,1,0,0,1
15094,2,85,0,1,0,0
16021,2.583333333,62,0,0,1,1
58016,6.583333333,39,0,0,1,0
18080,7,60,1,0,0,1
66419,9,59,0,0,1,1
94080,6,12.5,0,0,1,1
67965,9.75,63,1,0,0,0
30061,4.5,32,0,0,1,0
13208,8.416666667,16,1,0,0,0
48502,12.16666667,69,1,0,0,1
30018,7,10,1,0,0,1
80531,8,130,0,0,1,0
65945,3.75,73,0,0,1,0
87033,14,58,1,0,0,0
3204,11.41666667,56,0,0,1,0
26451,6.5,9,1,0,0,1
36961,5.5,15,0,0,1,0
86771,3.416666667,50.2,1,0,0,1
102007,8.916666667,31,0,0,1,1
48204,12,96,1,0,0,1
15604,6.833333333,84,1,0,0,1
95647,8,65,0,0,1,1
938,10.58333333,30,1,0,0,0
28893,12.75,80,1,0,0,0
91456,13.5,56,0,0,1,1
31862,6.166666667,25.5,1,0,0,1
10700,12.83333333,11,1,0,0,1
81963,7.5,68.5,1,0,0,0
96001,5.083333333,40,0,0,1,1
71380,12.08333333,18,1,0,0,0
4290,9.25,25,0,0,1,1
77764,5.5,28,1,0,0,1
9941,5.833333333,29,0,0,1,0
14232,8.666666667,12,1,0,0,0
39309,5.833333333,59,0,0,1,1
77525,9.083333333,38,1,0,0,1
52471,10,57,0,0,1,1
91233,11.41666667,83,1,0,0,1
90580,8.416666667,51.7,1,0,0,1
78226,6.333333333,142,0,0,1,0
67388,11.5,38.1,1,0,0,0
73869,3,69,0,0,1,1
37385,9.5,52,0,0,1,0
52445,9.416666667,58,1,0,0,1
96392,0.916666667,42,1,0,0,1
54124,11.83333333,55,0,0,1,1
64834,9.083333333,48.6,1,0,0,1
47898,9,51,1,0,0,1
88961,7,45,1,0,0,1
22629,8.5,65,1,0,0,1
94093,8.833333333,94.6,0,0,1,0
93667,11,100,1,0,0,0
30906,9.833333333,63,0,0,1,0
63899,1.5,24,0,0,1,0
97112,6.666666667,89,0,0,1,0
11247,11.5,21.4,0,0,1,0
1654,5,80,0,0,1,0
25269,13.5,22,0,0,1,1
42724,13.91666667,35,0,0,0,1
102584,15.41666667,18.6,0,0,1,0
15252,4,165,1,0,0,0
19306,6.583333333,52,1,0,0,1
55691,5.833333333,135,0,0,1,0
99876,2,32,0,0,1,1
45006,8.25,93,0,0,1,0
28473,0.833333333,45,1,0,0,1
3058,4.416666667,37,0,0,1,1
102257,2.25,18,1,0,0,0
35333,4.25,62,0,0,1,1
88130,15.58333333,62,1,0,0,0
55022,11.41666667,70,0,0,1,1
87785,0.583333333,48,1,0,0,1
83034,8.833333333,66,0,0,1,0
60656,9,101,0,0,1,1
28297,8.416666667,56,1,0,0,1
42588,13.41666667,75,1,0,0,1
71971,7,109,0,0,1,1
65399,8.583333333,38,0,0,1,0
48945,0.833333333,44,1,0,0,0
313,15,52,1,0,0,1
53001,11,54,1,0,0,1
36686,2.416666667,89,1,0,0,1
29673,13,62,1,0,0,0
55283,10.5,39,0,0,1,0
25960,3.083333333,41.5,0,0,1,1
64697,1.916666667,65,0,1,0,1
51650,1.833333333,118,0,0,1,0
40392,12,11,1,0,0,1
87448,19,22,1,0,0,0
82892,3.25,58,0,0,1,1
83383,0.5,11.7,0,0,0,0
84324,1.25,19,1,0,0,1
66799,10.16666667,58.8,1,0,0,1
68927,2.083333333,60,0,0,1,1
102248,8.5,11.8,1,0,0,1
66851,9,8.7,0,0,1,1
30141,14,61,1,0,0,1
84312,1.333333333,62,1,0,0,1
23717,11.66666667,140,0,0,1,1
75850,7,51,1,0,0,1
22800,4.25,25,1,0,0,1
76661,10.58333333,26,1,0,0,0
51136,11.83333333,69,1,0,0,1
6579,9.666666667,56,0,0,1,1
82549,1.416666667,50,1,0,0,1
