dog_id,hs_condition,days_from_present,months_from_present
78065,798,2760,90.68
78065,304,1025,33.68
78065,307,1025,33.68
78065,705,902,29.68
78065,916,902,29.68
78065,1015,902,29.68
78065,1616,2729,89.68
87273,1812,872,28.68
34475,304,964,31.68
34475,305,964,31.68
34475,307,964,31.68
85745,398,3551,116.68
85745,405,3337,109.68
85745,426,3337,109.68
85745,428,2729,89.68
42476,1705,1055,34.68
63794,102,1511,49.68
63794,803,1086,35.68
63794,1118,1876,61.68
65420,1817,1542,50.68
92020,198,4678,153.68
92020,798,2210,72.68
92020,1708,2090,68.68
92020,1817,2607,85.68
92020,1898,1968,64.68
94987,1617,933,30.68
55871,504,2852,93.68
55871,1105,1238,40.68
55871,1605,5863,192.68
55871,1634,5043,165.68
55871,1704,4798,157.68
55871,1817,2821,92.68
29345,205,1115,36.68
29345,304,3247,106.68
29345,305,1268,41.68
29345,411,3733,122.68
29345,428,2516,82.68
29345,1217,1177,38.68
29345,1619,6169,202.68
90006,304,9030,296.68
90006,1637,4008,131.68
51348,1637,1299,42.68
51049,428,1756,57.68
51049,1113,1725,56.68
8875,708,1146,37.68
8875,1617,1207,39.68
8875,1898,1177,38.68
97803,202,749,24.68
97803,423,749,24.68
97803,1110,1907,62.68
97803,1605,1633,53.68
97803,1798,1633,53.68
48626,432,1330,43.68
48626,1605,1421,46.68
63300,304,1695,55.68
63300,430,2333,76.68
63300,498,1421,46.68
63300,705,933,30.68
63300,1617,1695,55.68
63300,1698,2394,78.68
63300,1701,2272,74.68
10607,305,2090,68.68
10607,306,2090,68.68
10607,307,964,31.68
29044,203,1360,44.68
7154,198,3733,122.68
7154,305,1845,60.68
7154,313,6047,198.68
7154,1014,1845,60.68
89925,1619,964,31.68
50115,305,1025,33.68
50115,404,4859,159.68
50115,1198,3916,128.68
50115,1617,4647,152.68
60759,1701,1086,35.68
6441,405,1055,34.68
6441,1215,4739,155.68
79834,108,1452,47.68
79834,604,1086,35.68
79834,809,2182,71.68
5240,102,1695,55.68
5240,102,1725,56.68
5240,115,1725,56.68
5240,304,1055,34.68
